"","key_1","key_2","MachinesNumber","GrossRevenue","Revenue","Forecast","Plays"
"1","0.01 - reel","Aries - Boundary",1.48979591836735,8975.39795918367,13371.5112453145,12868.7857142857,181528
"2","0.01 - reel","Aries - Entrance",1.82142857142857,5602.83357142857,10205.1611479592,10722.375,84828.5
"3","0.01 - reel","Aries - Interior",2.07692307692308,6746.21769230769,14011.3752071006,16230.8076923077,16816.33
"4","0.01 - reel","Aries - RestaurantPlaza",1.89285714285714,7354.60107142857,13921.2091709184,15898.5357142857,50611
"5","0.01 - reel","Libra - Entrance",3,7139.468,21418.404,21202.7,74514.67
"6","0.01 - reel","Libra - Interior",3,3983.66666666667,11951,9926.16666666667,140156.33
"7","0.01 - video","Aries - Boundary",1.78823529411765,1842.02947058824,3293.98211211073,3967.75588235294,105437.5
"8","0.01 - video","Aries - Entrance",1.82412060301508,6230.36532663317,11364.9377566223,11458.7261306533,100567
"9","0.01 - video","Aries - Interior",1.80927835051546,11399.8143298969,20625.4372669784,20503.3556701031,119044.75
"10","0.01 - video","Aries - RestaurantPlaza",1.90243902439024,21935.8146829268,41731.5498845925,42209.3365853659,148465.33
"11","0.01 - video","Libra - Boundary",1.33684210526316,6762.47810526316,9040.36546703601,8750.57368421053,126122
"12","0.01 - video","Libra - Entrance",1.48235294117647,2094.29317647059,3104.48164982699,3554.52352941176,115230
"13","0.01 - video","Libra - Interior",1.23157894736842,20858.3596842105,25688.7166637119,25670.3421052632,173619
"14","0.01 - video","Libra - RestaurantPlaza",1.42056074766355,11964.4836448598,16996.2758319504,16297.8738317757,132057
"15","0.01 - vpoker","Libra - Boundary",2,4312.5,8625,6501,133816.5
"16","0.01 - vpoker","Libra - Entrance",2,5764,11528,7560.83333333333,168237.5
"17","0.01 - vpoker","Libra - Interior",2,7581.33333333333,15162.6666666667,16782.6666666667,59373
"18","0.01 - vpoker","Libra - RestaurantPlaza",2,11578.5,23157,14175.5,199967
"19","0.02 - reel","Aries - Boundary",1.75,11513.6014285714,20148.8025,18419.625,167746.25
"20","0.02 - reel","Aries - Entrance",1.91111111111111,7711.74977777778,14738.0106864198,11780.7111111111,83628.25
"21","0.02 - reel","Aries - Interior",1.84375,5283.0184375,9740.56524414063,11723.5,13837
"22","0.02 - reel","Aries - RestaurantPlaza",1.60606060606061,6711.26515151515,10778.6985766758,11149.2878787879,42898
"23","0.02 - reel","Libra - Boundary",1,11498,11498,12387.6666666667,65740
"24","0.02 - reel","Libra - Entrance",1,6894.6,6894.6,6498.7,119158.5
"25","0.02 - reel","Libra - Interior",1.1,3731.1,4104.21,5059.6,68667
"26","0.02 - reel","Libra - RestaurantPlaza",1,1214.2,1214.2,-93.8,78102
"27","0.02 - video","Aries - Boundary",1.96428571428571,1682.16071428571,3304.24426020408,1500.66071428571,67421
"28","0.02 - video","Aries - Entrance",1.83333333333333,6081.40740740741,11149.2469135802,11984.9444444444,55034.75
"29","0.02 - video","Aries - Interior",1.81081081081081,11834.4675675676,21429.9818115413,21477.6891891892,53040
"30","0.02 - video","Aries - RestaurantPlaza",1.46666666666667,26164.2666666667,38374.2577777778,38668.15,108066.75
"31","0.02 - video","Libra - Boundary",1.19047619047619,6583.95238095238,7838.03854875283,8031.59523809524,80246
"32","0.02 - video","Libra - Entrance",1.16666666666667,2211.72916666667,2580.35069444444,1420.14583333333,97405
"33","0.02 - video","Libra - Interior",1,21699,21699,21503.7692307692,129057
"34","0.02 - video","Libra - RestaurantPlaza",1.16666666666667,11816.1111111111,13785.462962963,15449.3333333333,53421
"35","0.05 - reel","Aries - Boundary",1.38461538461538,32242.6923076923,44643.7278106509,32599.5192307692,204579.5
"36","0.05 - reel","Aries - Entrance",1.14285714285714,16358.6907142857,18695.6465306122,21707.7142857143,81153.5
"37","0.05 - reel","Aries - Interior",1.30434782608696,9501.63739130435,12393.4400756144,17832.0652173913,14118
"38","0.05 - reel","Aries - RestaurantPlaza",1.26086956521739,14129.1886956522,17815.0640075614,16744.152173913,37863
"39","0.05 - reel","Libra - Entrance",1,6764,6764,6357,83116
"40","0.05 - reel","Libra - Interior",1,4344.6,4344.6,2528.3,122959
"41","0.05 - reel","Libra - RestaurantPlaza",1,1805.5,1805.5,1091.25,111939
"42","0.05 - video","Aries - Boundary",3.22727272727273,2037.97863636364,6577.11287190083,4569.09090909091,8086.125
"43","0.05 - video","Aries - Entrance",3.625,5733.73125,20784.77578125,14605.25,27802.25
"44","0.05 - video","Aries - Interior",2.375,11521.24375,27362.95390625,27453.125,109581.4
"45","0.05 - video","Aries - RestaurantPlaza",1.775,34649.75,61503.30625,53370.4125,124385.5
"46","0.05 - video","Libra - Boundary",1,7091.8,7091.8,11726,57622
"47","0.05 - video","Libra - Entrance",1,1549,1549,-182,99385
"48","0.05 - video","Libra - Interior",1,24810.2,24810.2,27294.1,62646
