"","key_1","key_2","Month","NumberMachines","GrossRevenue","Revenue","Forecast","Plays"
"1","0.01 - reel","Aries - Boundary",2011-09-01,11,9894.28571428571,15548.1632653061,17086.4285714286,198352
"2","0.01 - reel","Aries - Boundary",2011-10-01,8,7943.33333333333,10591.1111111111,8984.5,163379.5
"3","0.01 - reel","Aries - Boundary",2011-11-01,4,5085,6780,7574.83333333333,206458
"4","0.01 - reel","Aries - Boundary",2011-12-01,8,7764.7,12423.52,9955.4,159613
"5","0.01 - reel","Aries - Boundary",2012-01-01,5,6456.625,8070.78125,9544,271391.5
"6","0.01 - reel","Aries - Boundary",2012-02-01,9,9574.3,17233.74,16423.3,150829
"7","0.01 - reel","Aries - Boundary",2012-03-01,8,10386.6,16618.56,15054.5,157034.5
"8","0.01 - reel","Aries - Boundary",2012-04-01,4,8705.66666666667,11607.5555555556,10730.5,207235
"9","0.01 - reel","Aries - Boundary",2012-05-01,6,10646.125,15969.1875,14202.875,237479.5
"10","0.01 - reel","Aries - Boundary",2012-06-01,4,7015.16666666667,9353.55555555555,7738.16666666667,143025.5
"11","0.01 - reel","Aries - Boundary",2012-07-01,3,10290.5,15435.75,11316,158744.75
"12","0.01 - reel","Aries - Boundary",2012-08-01,3,16418.5,24627.75,27071.25,189998.25
"13","0.01 - reel","Aries - Entrance",2011-09-01,4,2518.75,5037.5,5448.75,99410.5
"14","0.01 - reel","Aries - Entrance",2011-10-01,1,3634,3634,4224,112278
"15","0.01 - reel","Aries - Entrance",2011-11-01,9,3439.2925,7738.408125,9836.875,78120.585
"16","0.01 - reel","Aries - Entrance",2011-12-01,4,6320.25,12640.5,15568,79021.25
"17","0.01 - reel","Aries - Entrance",2012-01-01,2,14744.5,29489,28585,98883.5
"18","0.01 - reel","Aries - Entrance",2012-02-01,3,5823,8734.5,7256.5,78922.5
"19","0.01 - reel","Aries - Entrance",2012-03-01,6,9602.72333333333,19205.4466666667,19171.1666666667,69246
"20","0.01 - reel","Aries - Entrance",2012-04-01,8,5166.8,8266.88,9511.7,78628.5
"21","0.01 - reel","Aries - Entrance",2012-05-01,3,4653,6979.5,6970.25,92092
"22","0.01 - reel","Aries - Entrance",2012-06-01,2,7937,15874,15588.5,98872.5
"23","0.01 - reel","Aries - Entrance",2012-07-01,5,4950.16666666667,8250.27777777778,6469.5,102704.5
"24","0.01 - reel","Aries - Entrance",2012-08-01,4,4342,8684,8757,84949.75
"25","0.01 - reel","Aries - Interior",2011-09-01,2,12881,25762,26559.5,16182.5
"26","0.01 - reel","Aries - Interior",2011-12-01,2,5469.5,10939,12452.5,17508
"27","0.01 - reel","Aries - Interior",2012-01-01,2,13764,27528,28800.5,21872
"28","0.01 - reel","Aries - Interior",2012-02-01,2,9119.5,18239,18357.5,26380
"29","0.01 - reel","Aries - Interior",2012-04-01,3,2559.33,7677.99,16467,12860
"30","0.01 - reel","Aries - Interior",2012-05-01,2,6133.5,12267,12481.5,2205
"31","0.01 - reel","Aries - Interior",2012-06-01,4,5771.75,11543.5,18156.75,12591.75
"32","0.01 - reel","Aries - Interior",2012-07-01,2,6501.5,13003,13659.5,9379.5
"33","0.01 - reel","Aries - Interior",2012-08-01,8,4932.25,9864.5,11477.25,19370.915
"34","0.01 - reel","Aries - RestaurantPlaza",2011-09-01,14,6867.97875,12018.9628125,13035.5625,51945.75
